CLASSIFICATION,QF,RESOURCE_AGG_TYPE,PARENT_RESOURCE_ID,RESOURCE_ID,RESOURCE_TYPE,GEN_UNIT_NAME,NET_DEPENDABLE_CAPACITY,NAMEPLATE_CAPACITY,PTO_AREA,OWNER_OR_QF,UNIT_TYPE,ENERGY_SOURCE,ZONE,COD,RIVER_SYSTEM,BAA_ID,UDC
Non-Participating,N,Y,DUANE_1_PL1X3,DUANE_7_CTG1,GEN,Donald Von Raesfeld CTG Unit 1,50.4,50.4,,Donald Von Raesfeld Power Plant,COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,ELSEGN_2_UN1011,ELSEGN_2_UNIT10,GEN,El Segundo Energy Center Unit 6,90.5,90.5,,El Segundo Energy Center LLC,COMBINED CYCLE,NATURAL GAS,SP15,,,CISO,
Participating Unit,N,N,,TULEWD_1_TULWD1,GEN,Tule Wind,127.6,131.1,SDGE,Tule Wind LLC,WIND,WIND,SP15,2018-01-05,,CISO,SDGE
Participating Unit,N,N,,RTEDDY_2_SOLAR2,GEN,Rosamond West Solar 2,54,55,SCE,"Golden Fields Solar I, LLC",PHOTO VOLTAIC,SUN,SP15,2016-12-22,,CISO,SCE
Participating Unit,N,N,,GARNET_2_WIND5,GEN,Eastwind,3,3,SCE,"Yavi Energy, LLC",WIND,WIND,SP15,2016-03-01,,CISO,SCE
Non-Participating,N,Y,SLUISP_2_UNITS,SLUISP_2_UNIT 1,GEN,San Luis P-G Unit 1,53,53,PGAE,California Dept. of Water Resources,PUMPED STORAGE,WATER,NP15,,,CISO,PGAE
Participating Unit,N,N,,SOUTH_2_UNIT,GEN,SOUTH HYDRO,7.1,7.1,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1979-01-01,,CISO,PGAE
Participating Unit,N,N,,LAKHDG_6_UNIT 2,GEN,Lake Hodges Pumped Storage-Unit2,20,20.4,SDGE,San Diego County Water Authority,PUMPED STORAGE,WATER,SP15,2012-08-26,,CISO,SDGE
Participating Unit,N,N,,CONTRL_1_POOLE,GEN,POOLE HYDRO PLANT 1,10.9,11.3,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1924-01-01,,CISO,SCE
Participating Unit,N,N,,BUCKCK_2_HYDRO,GEN,Lassen Station Hydro,0.99,1,PGAE,"Lassen Station Hydroelectric, LP",HYDRO,WATER,NP15,2016-06-13,,CISO,PGAE
Participating Unit,N,N,,CRWCKS_1_SOLAR1,GEN,Crow Creek Solar 1,20,20,PGAE,Frontier Solar LLC,PHOTO VOLTAIC,SUN,NP15,2016-06-30,,CISO,PGAE
Participating Unit,N,N,,MERCED_1_SOLAR1,GEN,Mission Solar,1.5,1.5,PGAE,Mission Solar LLC,PHOTO VOLTAIC,SUN,NP15,2015-05-23,,CISO,PGAE
Participating Unit,N,N,,MNDOTA_1_SOLAR1,GEN,North Star Solar 1,60,60,PGAE,"North Star Solar, LLC",PHOTO VOLTAIC,SUN,NP15,2015-06-20,,CISO,PGAE
Participating Unit,Y,N,,FAIRHV_6_UNIT,GEN,FAIRHAVEN POWER CO.,18.75,19.9,PGAE,DG Fairhaven Power LLC,STEAM,BIOMASS,NP15,1986-09-15,,CISO,PGAE
Non-Participating,N,Y,BIGCRK_2_EXESWD,BGCRK2_7_UNIT 4,GEN,BIG CREEK PH 2 UNIT 4,15.8,15.8,,Southern California Edison Company,HYDRO,WATER,SP15,,,CISO,
Non-Participating,N,Y,CARLS1_2_CARCT1,CARLS1_2_CTG6,GEN,CARLS1_2_CTG6,105.5,105.5,,San Diego Gas & Electric,COMBUSTION TURBINE,NATURAL GAS,SP15,,,CISO,
Participating Unit,N,N,,COLGAT_7_UNIT 2,GEN,Colgate Powerhouse Unit 2,175.67,175.7,PGAE,Yuba County Water Agency,HYDRO,WATER,NP15,1969-01-01,,CISO,PGAE
Participating Unit,N,N,,VENWD_1_WIND3,GEN,Painted Hills Windpark,19.04,19.3,SCE,Painted Hills Wind Developers,WIND,WIND,SP15,2016-04-14,,CISO,SCE
Participating Unit,N,N,,MCARTH_6_FRIVRB,GEN,Fall River Mills Project B,1.5,1.5,PGAE,"Ignite Solar Holdings 1, LLC",PHOTO VOLTAIC,SUN,NP15,2014-03-05,,CISO,PGAE
Participating Unit,N,Y,WNDSTR_2_WIND,WNDSTR_2_WIND,GEN,Windstar,120,,SCE,"Windstar Energy, LLC",WIND,WIND,SP15,2012-01-28,,CISO,SCE
Participating Unit,N,N,,COLTON_6_AGUAM1,GEN,AGUA MANSA UNIT 1 (CITY OF COLTON),43,45.5,SCE,City of Colton,COMBUSTION TURBINE,NATURAL GAS,SP15,2003-06-27,,CISO,CLTN
Participating Unit,N,N,,OROVIL_6_UNIT,GEN,"Oroville Cogeneration, LP",7.5,9.8,PGAE,"Oroville Cogeneration, L.P.",RECIPROCATING ENGINE,NATURAL GAS,NP15,1989-12-18,,CISO,PGAE
Participating Unit,N,N,,ALHMBR_1_ALHSLR,TG,SG Alhambra,50,50,SDGE,IVLY2,PHOTO VOLTAIC,SUN,SP15,2015-08-29,,IID,SDGE
Participating Unit,N,N,,COLGAT_7_UNIT 1,GEN,Colgate Powerhouse Unit 1,176.72,176.7,PGAE,Yuba County Water Agency,HYDRO,WATER,NP15,1969-01-01,,CISO,PGAE
Participating Unit,Y,N,,NEWARK_1_QF,GEN,NEWARK 1 QF,1.1,1.1,PGAE,Pacific Gas & Electric Company,OTHER,OTHER,NP15,,,CISO,PGAE
Participating Unit,N,N,,MENBIO_6_RENEW1,GEN,CalRENEW - 1(A),5,5,PGAE,"CalRENEW-1, LLC",PHOTO VOLTAIC,SUN,NP15,2010-04-30,,CISO,PGAE
Participating Unit,N,N,,DELAMO_2_SOLAR4,GEN,Golden Springs Building F,1.3,1.4,SCE,"Golden Springs Building F, LLC",PHOTO VOLTAIC,SUN,SP15,2017-02-24,,CISO,SCE
Participating Unit,N,N,,GARNET_1_SOLAR2,GEN,Garnet Solar Power Generation Station 1,4,4,SCE,"Garnet Solar Power Generation Station 1, LLC",PHOTO VOLTAIC,SUN,SP15,2014-12-23,,CISO,SCE
Participating Unit,N,N,,JAWBNE_2_NSRWND,GEN,North Sky River Wind Project,160,162,SCE,"North Sky River Energy, LLC",WIND,WIND,SP15,2012-12-08,,CISO,SCE
Participating Unit,N,Y,DRUM_7_PL1X2,DRUM_7_PL1X2,GEN,Drum PH 1 Units 1 & 2 Aggregate,26,,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1913-01-01,,CISO,PGAE
Participating Unit,N,Y,PIT5_7_PL1X2,PIT5_7_PL1X2,GEN,PIT PH 5 UNITS 1 & 2 AGGREGATE,82,,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1944-01-01,,CISO,PGAE
Participating Unit,N,Y,VESTAL_2_KERN,VESTAL_2_KERN,GEN,KERN RIVER PH 3 UNITS 1 & 2 AGGREGATE,36.8,,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1907-01-01,,CISO,SCE
Non-Participating,N,Y,TIGRCK_7_UNITS,TIGRCK_7_UNIT 1,GEN,Tiger Creek Unit 1,31,31,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Participating Unit,N,N,,ALTA3A_2_CPCE4,GEN,Alta Wind 4,102,102,SCE,"Alta Interconnection Management II, LLC",WIND,WIND,SP15,2011-03-12,,CISO,SCE
Participating Unit,N,N,,GIFENS_6_BUGSL1,GEN,Burford Giffen,20,20,PGAE,Giffen Solar Park LLC,PHOTO VOLTAIC,SUN,NP15,2017-06-16,,CISO,PGAE
Participating Unit,N,N,,DEVERS_1_SOLAR2,GEN,SEPV9,9,9,SCE,"Highlander Solar 2, LLC",PHOTO VOLTAIC,SUN,SP15,2013-06-01,,CISO,SCE
Non-Participating,N,Y,MDFKRL_2_PROJCT,MIDFRK_7_UNIT 1,GEN,MIDDLE FORK UNIT 1,65.7,65.7,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
